rows,100,1000
100,1,9
109,1,8
120,1,9
132,1,9
145,1,8
159,1,12
174,1,8
191,1,9
210,1,11
231,1,9
253,1,11
278,1,11
305,1,11
335,3,11
367,5,11
403,8,12
443,12,11
486,17,11
533,20,11
585,24,12
642,24,12
705,24,12
774,20,12
849,20,14
932,20,14
1023,20,14
1123,23,14
1232,28,14
1353,30,14
1484,28,14
1629,28,14
1788,28,14
1963,30,14
2154,33,14
2364,33,14
2595,30,14
2848,33,14
3125,34,14
3430,33,14
3764,33,14
4132,36,14
4534,33,14
4977,36,14
5462,36,14
5994,36,15
6579,36,15
7220,36,14
7924,37,15
8697,37,15
9545,37,15
10476,37,15
11497,37,15
12618,37,15
13848,37,15
15199,39,15
16681,37,15
18307,37,15
20092,39,15
22051,39,15
24201,39,15
26560,39,15
29150,39,15
31992,39,15
35111,39,15
38535,39,15
42292,39,15
46415,39,15
50941,39,15
55908,39,15
61359,39,15
67341,39,15
73907,39,15
81113,39,15
89021,39,15
97700,39,15
107226,39,15
117681,39,15
129154,39,15
141747,39,15
155567,39,15
170735,39,15
187381,39,15
205651,39,15
225701,39,15
247707,39,15
271858,39,15
298364,39,15
327454,39,15
359381,39,15
394420,39,15
432876,39,15
475081,39,15
521400,39,14
572236,39,15
628029,39,15
689261,39,15
756463,39,15
830217,39,15
911162,39,15
1000000,39,15
